id,caption,description,moreInfo,bannerImage
3,"Áo phủ xe 3 lớp tráng nhôm cách nhiệt, chống thấm nước, bảo vệ xe khỏi lo bẻ trộm gương.",Mua ngay giảm giá 30%,Miễn phí giao hàng nhanh toàn quốc,3.jpg
11,"Mẫu thảm lót sàn mới nhất cho các dòng xe từ 4 - 7 chỗ. Sang trọng, bền đẹp, giảm ồn.",Đăng kí hôm nay giảm ngay 20% đơn hàng.,"Lắp đặt chuẩn đẹp rồi mới thanh toán, không ưng hoàn tiền",11.jpg
14,"Tăng độ sang trọng, lịch lãm của xế yêu. Với thảm trải sàn ô tô cao cấp 6d.",Mua 1 lần dùng 10 năm bảo hành trọn đời,Không ưng ý hoàn tiền không lí do,14.jpg
19,"Bán lỗ toàn bộ thảm sàn ô tô cao cấp 6d cho xe 5-7-24 chỗ. sạch sang, chống nước, chống ồn",Đặt ngay để nhận thêm mã giảm giá 20%,"Không đẹp không lấy tiền, 1 đổi 1 trong vòng 30 ngày",19.jpg
21,"Bạt phủ xe 3 lớp, chống nắng nóng bụi bẩn, chống nước, chống xước xe, bảo vệ xe toàn diện",Giá ưu đãi hôm nay tại đây,Miễn phí giao hàng nhanh chỉ từ 1 đến 3 ngày,21.jpg
22,"Bạt phủ xe ô tô 3 lớp - Chống nắng, chống mưa, chống trộm gương, bảo vệ xe chỉ với 2 phút",Mua ngay nhận ưu đãi 30%,Miễn phí giao hàng + quà tặng tri ân khách hàng tháng 9,22.jpg
26,"USB nhạc Bolero, trữ tình, nhạc trẻ, remix. Lên nhạc với 99% các dòng xe. USB cho ô tô.",Lên nhạc ô tô chỉ cần USB Carro,"Sale 30%, thử trước khi thanh toán, freeship, bảo hành 1 1.",26.jpg
47,"Bạt phủ ô tô cách nhiệt 3 lớp - Chống xước xe, chống nắng nóng bụi bẩn, chống thấm nước.",Giảm 30% khi đặt hàng.,Miễn phí giao hàng toàn quốc.,47.jpg
54,Chống nóng - Chống cháy nổ - Chống mưa bụi Với Bạt phủ xe 3 lớp tráng nhôm phản quang,Mua ngay hôm nay giảm 30%,Miễn phí giao hàng nhanh,54.jpg
56,Một bộ thảm da lót sàn 6D thật sự  cần thiết cần cho xe 4-7 chỗ. Đa năng mà còn tiết kiệm,Giảm 20% cho hôm nay mà còn miễn phí giao hàng,"Uy tín, tận tâm, nâng tầm chất lượng",56.jpg
57,"Mẫu thảm lót sàn mới cuối năm nay cho các dòng xe từ 4 - 7 chỗ. Sang trọng, dễ vệ sinh",Giảm không lợi nhuận 20% cho toàn bộ khách hàng,"Ship toàn quốc, lắp đặt xong mới thanh toán. Đăng ký ngay",57.jpg
63,"Đăng ký nhận báo giá ưu đãi 20% sản phẩm thảm sàn ô tô cho xe 4 - 7 chỗ, xe bán tải.",Lắp 1 lần - Dùng 10 năm,Lắp xong đẹp mới thanh toán,63.jpg
72,"Bạt trùm phủ 3 lớp - Tráng nhôm phản quang cách nhiệt, chống nước, ngăn bẻ trộm gương.",Mua ngay giảm 30%,Miễn phí giao hàng nhanh toàn quốc,72.jpg
